cluster,word,frequency,rank
3,พระพุทธศาสนา,2,177
3,นครพาราณสี,2,178
3,พระเจ้า,2,179
3,พรหมทัต,2,180
3,บวช,2,181
3,อาหารที่,2,182
3,พออิ่ม,2,183
3,ไปยัง,2,184
3,บ้านของ,2,185
3,ต่อมา,2,186
3,อุปัชฌาย์,2,187
3,ขอรับ,2,188
3,แล้วจึง,2,189
3,ศีรษะ,2,190
3,พระโพธิสัตว์,2,191
3,ดุจ,2,192
3,ช้างสาร,2,193
3,ชาวเมือง,2,194
3,กลัว,2,195
3,ดีล่ะ,2,196
3,ทรัพย์สมบัติ,2,197
3,ตอนนี้,2,198
3,พระเจ้าค่ะ,2,199
3,ทหาร,2,200
3,ของกลาง,2,201
3,โปรดปราน,2,202
3,ให้ได้,2,203
3,มอบทรัพย์,2,204
3,ติดสินบน,2,205
3,ของมหา,2,206
3,ปล่อยตัว,2,207
3,ปล่อยไป,2,208
3,รับใช้,2,209
3,คิดถึง,2,210
3,แกล้ง,2,211
3,หลอก,2,212
3,ที่นาง,2,213
3,ตั้งแต่นั้นมา,2,214
3,สามาก็,2,215
3,อภิรมย์,2,216
3,ชายอื่น,2,217
3,วันข้างหน้า,2,218
3,ที่จะ,2,219
3,สวนอุทยาน,2,220
3,ทำที,2,221
3,เหมือน,2,222
3,เข้าไป,2,223
3,คร่ำครวญถึง,2,224
3,กลับมา,2,225
3,สาวนัก,2,226
3,ข่าว,2,227
3,แจ้ง,2,228
3,ฟ้อนรำ,2,229
3,สามายังมีชีวิตอยู่,2,230
3,หือ,2,231
3,สัจจะ,2,232
